variety,treatment,day,average_rating,SE
iceberg,wounded,1,2,0
iceberg,wounded,3,3.75,0.144337567
iceberg,wounded,5,3.75,0.144337567
iceberg,melatonin,1,1,0
iceberg,melatonin,3,1,0
iceberg,melatonin,5,1,0
iceberg,cysteine,1,1,0
iceberg,cysteine,3,3.5,0
iceberg,cysteine,5,3.625,0.125
romaine,wounded,1,1.75,0.25
romaine,wounded,3,2.875,0.125
romaine,wounded,5,3.875,0.125
romaine,melatonin,1,1,0
romaine,melatonin,3,1.25,0.25
romaine,melatonin,5,2.25,0.144337567
romaine,cysteine,1,1.25,0.25
romaine,cysteine,3,2.75,0.144337567
romaine,cysteine,5,4,0
