treatment,x,y,R,G,B
control,448,206,218,184,110
control,448,208,217,186,106
control,448,209,219,191,107
control,448,211,229,202,115
control,448,213,226,199,112
control,448,215,230,204,117
control,450,217,218,193,101
control,450,219,220,194,101
control,451,221,216,185,92
control,452,223,212,181,88
control,453,225,213,179,82
control,454,227,212,180,81
control,519,207,217,178,83
control,520,213,221,182,87
control,521,217,214,180,82
control,523,223,207,174,71
control,524,226,199,167,66
control,525,231,197,163,65
control,526,236,196,162,65
control,527,236,206,172,75
control,559,212,238,223,138
control,570,206,215,176,81
control,569,204,212,173,80
control,576,231,206,184,83
control,576,235,203,187,89
control,577,238,204,186,88
control,609,203,211,182,88
control,610,206,219,185,88
control,511,209,206,175,69
control,612,213,218,190,83
control,613,215,218,189,87
control,616,230,200,187,83
control,665,200,198,174,86
control,667,205,205,178,87
control,668,211,215,188,83
control,668,214,221,189,86
control,668,217,207,182,82
control,671,232,196,182,75
control,742,207,184,172,86
control,745,212,197,178,86
control,747,217,210,188,89
control,746,222,214,192,90
control,746,227,212,119,79
control,746,233,209,191,79
control,746,239,201,185,72
control,745,245,181,166,63
control,457,416,205,189,111
control,456,423,200,177,99
control,456,430,213,186,107
control,458,433,203,174,94
control,459,438,214,189,109
control,460,440,212,191,110
control,503,422,221,204,116
control,502,428,224,206,120
control,503,433,226,204,121
control,504,436,226,204,121
control,505,441,216,195,114
control,506,446,212,191,112
control,507,449,200,177,97
control,564,420,188,184,87
control,564,431,206,197,106
control,564,441,200,184,88
control,565,448,221,206,115
control,565,451,197,179,81
control,622,424,185,187,86
control,623,428,194,196,89
control,624,448,204,200,93
control,623,456,205,203,94
control,622,465,208,191,87
control,751,445,183,183,83
control,752,451,189,189,91
control,754,461,193,188,86
control,750,469,212,207,105
control,748,475,218,216,115
control,593,840,207,176,86
control,592,846,218,186,99
control,593,849,213,169,80
control,594,853,217,166,85
control,595,858,233,187,109
control,596,861,228,191,131
control,597,863,232,194,123
control,664,837,208,185,105
control,665,842,209,187,101
control,667,851,227,201,117
control,668,858,225,196,120
control,669,867,250,210,140
control,725,842,216,194,108
control,726,850,241,211,121
control,728,858,236,210,125
control,730,862,241,209,122
control,781,845,218,198,103
control,784,850,232,209,113
control,787,859,247,226,133
control,499,1028,188,180,97
control,499,1034,173,167,79
control,558,1028,182,170,72
control,558,1036,186,174,74
control,560,1046,215,199,103
control,621,1050,240,200,102
control,621,1042,225,196,94
mel_1000ppm,536,185,224,199,109
mel_1000ppm,538,192,229,205,105
mel_1000ppm,541,210,214,199,96
mel_1000ppm,540,219,205,194,89
mel_1000ppm,604,188,213,204,99
mel_1000ppm,605,199,216,208,107
mel_1000ppm,606,205,219,216,103
mel_1000ppm,607,213,217,211,97
mel_1000ppm,607,224,205,203,94
mel_1000ppm,659,191,216,215,109
mel_1000ppm,658,195,235,234,142
mel_1000ppm,660,206,220,222,113
mel_1000ppm,660,216,217,219,120
mel_1000ppm,660,226,210,216,116
mel_1000ppm,718,193,211,214,111
mel_1000ppm,718,204,222,224,123
mel_1000ppm,718,213,209,214,111
mel_1000ppm,718,220,211,218,114
mel_1000ppm,717,227,209,213,118
mel_1000ppm,768,193,225,224,132
mel_1000ppm,770,2102,227,227,141
mel_1000ppm,770,209,210,217,111
mel_1000ppm,770,219,214,221,115
mel_1000ppm,770,227,201,209,97
mel_1000ppm,835,193,220,218,133
mel_1000ppm,837,197,229,228,148
mel_1000ppm,837,207,217,220,129
mel_1000ppm,836,216,227,233,135
mel_1000ppm,797,430,218,205,103
mel_1000ppm,801,436,220,203,99
mel_1000ppm,802,445,224,207,99
mel_1000ppm,801,453,217,204,102
mel_1000ppm,740,425,215,203,101
mel_1000ppm,742,436,222,205,115
mel_1000ppm,742,448,208,193,92
mel_1000ppm,742,457,204,192,92
mel_1000ppm,687,408,194,182,82
mel_1000ppm,687,413,210,197,95
mel_1000ppm,688,420,217,200,96
mel_1000ppm,690,431,229,207,106
mel_1000ppm,691,441,200,188,88
mel_1000ppm,650,410,209,201,102
mel_1000ppm,649,416,232,223,120
mel_1000ppm,652,425,220,203,95
mel_1000ppm,665,432,223,214,119
mel_1000ppm,656,439,211,198,96
mel_1000ppm,607,410,212,198,101
mel_1000ppm,608,415,227,208,106
mel_1000ppm,607,425,250,227,134
mel_1000ppm,611,430,223,207,112
mel_1000ppm,413,437,213,187,101
mel_1000ppm,565,408,202,180,79
mel_1000ppm,565,420,226,201,101
mel_1000ppm,565,429,224,201,108
mel_1000ppm,570,437,202,185,93
mel_1000ppm,575,446,204,189,94
mel_1000ppm,515,623,231,215,140
mel_1000ppm,517,632,214,198,120
mel_1000ppm,621,640,217,194,116
mel_1000ppm,525,649,223,197,122
mel_1000ppm,530,657,195,174,109
mel_1000ppm,533,612,225,210,127
mel_1000ppm,556,621,231,219,137
mel_1000ppm,559,630,231,219,137
mel_1000ppm,560,636,234,218,141
mel_1000ppm,562,640,237,221,146
mel_1000ppm,607,606,218,208,113
mel_1000ppm,609,616,229,218,136
mel_1000ppm,613,622,239,230,155
mel_1000ppm,614,629,237,219,133
mel_1000ppm,618,637,225,204,121
mel_1000ppm,620,644,243,216,127
mel_1000ppm,623,650,235,210,128
mel_1000ppm,667,600,214,204,106
mel_1000ppm,668,606,229,219,120
mel_1000ppm,670,611,235,225,136
mel_1000ppm,674,620,239,227,141
mel_1000ppm,675,626,244,233,154
mel_1000ppm,678,636,243,234,155
mel_1000ppm,682,644,238,234,163
mel_1000ppm,727,599,215,206,103
mel_1000ppm,730,604,234,221,119
mel_1000ppm,732,614,238,233,139
mel_1000ppm,734,619,239,232,142
mel_1000ppm,736,629,241,231,136
mel_1000ppm,738,637,241,232,141
mel_1000ppm,788,594,212,205,99
mel_1000ppm,792,602,226,221,121
mel_1000ppm,795,610,249,243,147
mel_1000ppm,798,620,245,228,138
mel_1000ppm,800,629,246,232,145
mel_1000ppm,763,815,243,228,133
mel_1000ppm,764,823,255,234,140
mel_1000ppm,763,832,237,202,110
mel_1000ppm,763,836,232,196,102
mel_1000ppm,715,809,242,221,132
mel_1000ppm,717,817,253,233,144
mel_1000ppm,817,826,252,222,126
mel_1000ppm,719,834,244,220,132
mel_1000ppm,669,816,249,231,149
