variety,R,G,B
iceberg,199,141,92
iceberg,196,141,89
iceberg,199,147,92
iceberg,197,142,86
iceberg,190,134,89
iceberg,196,142,93
iceberg,192,139,89
iceberg,190,134,87
iceberg,187,133,85
iceberg,186,136,86
iceberg,189,137,87
iceberg,185,136,80
iceberg,184,132,77
iceberg,186,131,77
iceberg,178,124,72
iceberg,183,130,73
iceberg,180,129,71
iceberg,181,132,78
iceberg,181,132,78
iceberg,216,171,124
iceberg,217,169,125
iceberg,217,167,122
iceberg,211,167,122
iceberg,221,172,126
iceberg,219,170,122
iceberg,217,172,125
iceberg,216,168,122
iceberg,215,167,119
iceberg,217,170,118
iceberg,221,176,121
iceberg,219,178,114
iceberg,216,169,106
iceberg,227,189,137
iceberg,229,187,133
iceberg,229,187,133
iceberg,227,184,130
iceberg,228,186,132
iceberg,224,183,126
iceberg,223,184,129
iceberg,223,182,125
iceberg,225,184,125
iceberg,225,187,125
iceberg,223,183,119
iceberg,219,183,117
iceberg,224,183,124
iceberg,216,179,142
iceberg,207,169,139
iceberg,207,171,142
iceberg,209,173,142
iceberg,214,183,144
iceberg,216,183,144
iceberg,215,184,145
iceberg,217,189,145
iceberg,218,188,145
iceberg,221,188,141
iceberg,221,190,145
iceberg,225,191,149
iceberg,213,184,143
iceberg,208,179,139
iceberg,210,181,141
iceberg,217,189,145
iceberg,226,196,150
iceberg,235,213,148
iceberg,232,209,147
iceberg,234,208,150
iceberg,232,210,151
iceberg,232,209,147
iceberg,228,206,141
iceberg,229,204,140
iceberg,228,202,135
iceberg,228,203,139
iceberg,231,204,141
iceberg,231,204,141
iceberg,232,202,140
iceberg,229,203,136
iceberg,234,205,140
iceberg,234,205,140
iceberg,234,208,140
iceberg,231,205,138
iceberg,232,204,134
iceberg,231,202,134
iceberg,230,204,135
iceberg,232,204,134
iceberg,230,206,135
iceberg,228,207,135
iceberg,231,205,139
iceberg,228,203,136
iceberg,230,203,140
iceberg,208,189,111
iceberg,208,188,106
iceberg,207,185,103
iceberg,210,183,103
iceberg,214,184,105
iceberg,213,183,104
iceberg,211,181,102
iceberg,209,181,101
iceberg,208,180,100
iceberg,210,182,102
iceberg,210,183,103
iceberg,210,183,105
romaine,249,230,144
romaine,251,234,149
romaine,255,229,152
romaine,255,240,165
romaine,245,220,126
romaine,240,206,118
romaine,232,191,102
romaine,226,181,90
romaine,238,194,98
romaine,247,218,124
romaine,229,187,93
romaine,249,222,129
romaine,237,213,119
romaine,237,209,117
romaine,239,211,117
romaine,235,206,110
romaine,233,208,113
romaine,230,201,111
romaine,219,185,93
romaine,223,187,93
romaine,220,187,90
romaine,224,190,90
romaine,223,190,92
romaine,217,182,88
romaine,219,185,94
romaine,219,186,91
romaine,246,227,136
romaine,242,222,129
romaine,253,229,140
romaine,245,225,134
romaine,253,238,152
romaine,255,242,160
romaine,255,242,160
romaine,255,243,161
romaine,255,240,160
romaine,254,238,155
romaine,251,236,153
romaine,255,243,162
romaine,244,229,142
romaine,250,234,144
romaine,249,233,139
romaine,255,239,166
romaine,255,239,166
romaine,255,236,160
romaine,249,228,152
romaine,249,227,151
romaine,255,136,163
romaine,255,237,165
romaine,253,237,156
romaine,253,235,150
romaine,251,230,145
romaine,251,228,139
romaine,247,224,132
romaine,245,223,128
romaine,243,225,131
romaine,251,228,141
romaine,250,225,136
romaine,247,223,131
romaine,244,219,128
romaine,249,236,152
romaine,248,233,150
romaine,249,232,145
romaine,251,233,146
romaine,249,230,142
romaine,249,230,142
romaine,249,228,141
romaine,246,232,144
romaine,245,228,136
romaine,246,227,136
romaine,242,222,129
romaine,244,220,131
romaine,253,229,140
romaine,249,233,143
romaine,246,228,134
romaine,243,223,132
romaine,245,225,134
romaine,253,232,146
romaine,254,235,146
romaine,249,230,140
romaine,249,233,141
romaine,255,242,161
romaine,255,243,161
romaine,255,243,159
romaine,254,240,156
romaine,253,240,153
romaine,255,245,161
romaine,255,242,159
romaine,249,234,151
romaine,251,136,153
romaine,254,238,155
romaine,255,240,160
romaine,255,242,161
romaine,255,243,161
romaine,255,243,161
romaine,255,244,162
romaine,255,244,164
romaine,254,238,155
romaine,254,238,157
romaine,255,243,162
romaine,255,245,165
